p0_rank,p1_rank,p0_odds,p1_odds,tourney_date,winner
24.0,115.0,1.57,2.37,2017-08-28,1.0
66.0,163.0,1.28,3.5,2011-04-04,0.0
4.0,91.0,1.07,9.0,2016-10-24,1.0
107.0,229.0,1.36,3.0,2017-10-16,0.0
98.0,99.0,2.1,1.66,2017-02-13,1.0
35.0,84.0,1.19,4.0,2006-06-19,0.0
12.0,100.0,1.22,4.0,2011-06-06,0.0
12.0,72.0,1.14,5.0,2009-10-26,0.0
14.0,47.0,1.28,3.5,2018-10-08,0.0
9.0,59.0,1.9,1.8,2007-05-07,1.0
11.0,71.0,1.05,9.0,2010-02-01,0.0
31.0,68.0,1.38,3.0,2010-05-02,0.0
75.0,81.0,1.66,2.1,2019-01-07,0.0
26.0,96.0,1.44,2.75,2022-01-17,0.0
56.0,72.0,1.5,2.5,2017-10-16,1.0
62.0,164.0,1.66,2.2,2021-10-18,0.0
76.0,168.0,1.57,2.37,2018-01-15,0.0
15.0,50.0,1.61,2.3,2018-01-15,0.0
33.0,45.0,3.0,1.36,2007-01-08,1.0
9.0,22.0,1.18,4.5,2013-09-30,0.0
28.0,44.0,1.72,2.1,2016-06-06,1.0
63.0,284.0,1.14,5.5,2017-10-23,0.0
131.0,144.0,1.83,1.83,2007-07-29,0.0
96.0,287.0,1.1,7.0,2016-02-01,0.0
78.0,153.0,2.5,1.5,2018-07-16,1.0
93.0,134.0,1.66,2.1,2020-02-10,1.0
4.0,63.0,1.01,26.0,2017-05-29,0.0
1.0,16.0,1.04,10.0,2006-08-07,0.0
9.0,33.0,1.12,5.5,2007-08-05,0.0
117.0,141.0,1.72,2.0,2007-09-10,0.0
81.0,96.0,1.44,2.75,2022-06-06,0.0
41.0,43.0,3.75,1.25,2012-01-09,1.0
16.0,51.0,2.5,1.5,2014-01-13,0.0
95.0,245.0,2.0,1.72,2012-08-27,1.0
32.0,72.0,1.66,2.1,2009-04-27,0.0
6.0,45.0,1.07,9.0,2012-04-15,1.0
48.0,67.0,1.66,2.1,2016-02-22,1.0
6.0,41.0,1.16,5.0,2008-03-03,0.0
3.0,5.0,1.36,3.2,2018-11-12,1.0
80.0,176.0,1.44,2.62,2006-05-01,0.0
52.0,145.0,1.44,2.62,2010-06-07,0.0
38.0,54.0,1.44,2.75,2022-05-23,0.0
32.0,62.0,1.72,2.0,2019-03-18,1.0
30.0,342.0,1.08,7.0,2010-06-13,1.0
67.0,96.0,1.83,1.83,2010-10-25,1.0
19.0,50.0,1.44,2.75,2017-01-16,1.0
10.0,14.0,1.36,3.0,2010-03-24,0.0
85.0,93.0,1.8,2.0,2016-02-01,1.0
6.0,89.0,1.33,3.4,2018-01-01,1.0
5.0,121.0,1.06,8.0,2006-08-28,0.0
27.0,94.0,1.11,6.0,2006-07-10,0.0
70.0,73.0,1.28,3.5,2018-05-21,0.0
1.0,2.0,3.75,1.25,2008-05-25,1.0
47.0,56.0,1.8,1.9,2015-05-03,1.0
12.0,81.0,1.1,7.0,2012-04-15,0.0
17.0,26.0,1.66,2.2,2013-06-17,0.0
18.0,42.0,1.5,2.5,2012-04-30,0.0
54.0,80.0,1.72,2.0,2011-07-18,1.0
32.0,107.0,1.3,3.4,2014-06-23,1.0
51.0,160.0,1.9,1.9,2021-10-18,0.0
63.0,105.0,1.66,2.1,2013-06-10,1.0
2.0,13.0,1.22,4.33,2021-08-09,0.0
65.0,67.0,3.0,1.4,2016-02-22,1.0
41.0,87.0,1.44,2.75,2015-04-06,0.0
98.0,175.0,1.4,2.75,2015-02-02,0.0
35.0,109.0,1.57,2.25,2018-06-18,1.0
48.0,75.0,2.1,1.66,2009-06-14,1.0
67.0,71.0,1.12,6.0,2011-08-29,0.0
46.0,77.0,1.33,3.25,2016-03-07,0.0
38.0,165.0,1.28,3.25,2007-01-29,0.0
110.0,288.0,1.33,3.0,2006-07-24,0.0
90.0,141.0,1.5,2.5,2006-06-26,1.0
5.0,34.0,1.02,17.0,2013-04-14,0.0
61.0,115.0,3.25,1.33,2020-10-12,0.0
4.0,6.0,1.4,3.0,2012-06-25,0.0
4.0,41.0,1.11,6.0,2009-11-08,0.0
54.0,104.0,1.36,3.0,2010-04-05,0.0
7.0,35.0,1.33,3.4,2022-03-07,0.0
36.0,71.0,1.5,2.5,2014-07-21,1.0
1.0,23.0,1.02,19.0,2011-08-29,0.0
43.0,46.0,1.8,1.9,2015-02-16,1.0
29.0,73.0,1.16,4.5,2010-02-01,0.0
4.0,14.0,1.33,3.25,2010-11-07,1.0
127.0,621.0,1.14,5.5,2018-01-08,0.0
56.0,133.0,1.5,2.5,2013-07-15,0.0
18.0,27.0,1.44,2.75,2021-06-21,0.0
42.0,61.0,2.62,1.44,2017-05-22,1.0
27.0,88.0,1.11,6.0,2008-05-25,1.0
42.0,82.0,1.9,1.8,2020-02-17,1.0
33.0,57.0,1.4,3.0,2013-07-22,0.0
35.0,106.0,1.22,4.0,2016-07-11,0.0
37.0,107.0,1.4,2.75,2015-01-19,0.0
40.0,138.0,1.3,3.4,2011-02-21,0.0
39.0,166.0,1.3,3.5,2018-09-17,0.0
10.0,116.0,1.03,15.0,2017-02-27,1.0
9.0,116.0,1.16,5.0,2015-06-08,0.0
8.0,37.0,1.14,5.5,2020-08-31,0.0
12.0,92.0,1.08,8.0,2012-02-27,0.0
79.0,104.0,2.37,1.53,2016-07-11,0.0
27.0,97.0,1.57,2.25,2011-04-25,0.0
22.0,110.0,1.53,2.37,2009-08-10,0.0
40.0,67.0,1.53,2.5,2022-08-29,1.0
35.0,73.0,1.28,3.5,2011-02-21,1.0
52.0,66.0,3.0,1.36,2015-08-16,1.0
14.0,55.0,1.66,2.1,2008-08-25,1.0
13.0,46.0,1.38,2.87,2006-06-12,0.0
16.0,239.0,1.61,2.3,2018-12-31,0.0
197.0,208.0,3.4,1.3,2019-07-15,1.0
38.0,166.0,1.4,2.75,2013-02-18,1.0
6.0,55.0,1.1,6.5,2011-03-23,0.0
60.0,99.0,2.75,1.4,2012-02-20,1.0
24.0,71.0,1.57,2.37,2018-12-31,0.0
13.0,86.0,1.12,5.5,2007-02-19,0.0
87.0,184.0,1.44,2.62,2007-02-12,1.0
13.0,85.0,1.14,5.0,2011-02-07,0.0
17.0,25.0,2.75,1.44,2019-03-18,1.0
59.0,119.0,1.07,8.0,2014-07-07,0.0
1.0,2.0,1.83,2.0,2015-06-29,0.0
35.0,40.0,2.87,1.36,2010-04-25,1.0
64.0,66.0,2.87,1.36,2006-10-02,1.0
84.0,242.0,1.39,2.75,2006-09-25,0.0
17.0,40.0,1.53,2.37,2017-05-08,1.0
16.0,40.0,1.33,3.4,2017-04-10,0.0
267.0,283.0,1.83,1.83,2008-05-25,0.0
40.0,62.0,1.72,2.0,2011-10-24,1.0
39.0,117.0,1.72,2.0,2011-10-03,0.0
56.0,160.0,1.4,2.75,2014-02-17,0.0
20.0,34.0,1.19,4.33,2007-08-13,0.0
45.0,52.0,1.5,2.5,2010-10-18,0.0
19.0,24.0,1.72,2.0,2016-10-31,1.0
99.0,306.0,2.62,1.44,2006-08-28,1.0
27.0,36.0,1.25,4.0,2016-06-27,1.0
25.0,35.0,2.25,1.57,2014-10-20,1.0
33.0,246.0,5.0,1.14,2006-05-01,1.0
10.0,182.0,1.16,4.5,2008-10-20,0.0
21.0,160.0,1.11,6.0,2009-08-31,0.0
16.0,73.0,1.1,7.0,2017-03-06,0.0
14.0,44.0,1.33,3.25,2014-08-25,0.0
18.0,164.0,1.2,4.5,2018-07-23,0.0
49.0,54.0,1.53,2.37,2017-08-21,0.0
11.0,35.0,1.33,3.25,2010-04-25,1.0
4.0,33.0,1.06,8.0,2011-06-20,0.0
29.0,55.0,1.16,5.0,2015-10-19,0.0
84.0,88.0,1.83,1.83,2007-08-27,1.0
113.0,209.0,1.4,2.75,2008-02-25,1.0
13.0,54.0,1.4,2.75,2014-08-10,0.0
65.0,129.0,2.0,1.72,2017-03-06,1.0
27.0,50.0,1.57,2.25,2016-05-09,0.0
6.0,34.0,1.44,2.62,2015-05-03,0.0
5.0,37.0,1.2,4.5,2016-10-24,0.0
55.0,61.0,1.57,2.25,2006-06-26,0.0
479.0,674.0,1.36,3.0,2016-07-11,0.0
87.0,97.0,1.57,2.25,2010-09-20,0.0
12.0,173.0,1.36,3.0,2012-06-25,0.0
4.0,44.0,1.08,7.0,2008-01-14,0.0
28.0,661.0,1.61,2.2,2007-04-09,0.0
68.0,105.0,2.25,1.57,2008-06-16,0.0
53.0,115.0,1.44,2.62,2011-10-17,0.0
